epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7568,1.22805,2.96995,1.29112,0.0069,0.93548,0.5818,0.3767,1.07076,2.78106,1.23355,4e-05,4e-05,4e-05
2,26.8394,1.13975,2.64181,1.34508,0.0069,0.93548,0.70511,0.49722,1.06898,2.74471,1.2088,9.01e-05,9.01e-05,9.01e-05
3,39.5205,1.08663,2.2237,1.32284,0.00714,0.96774,0.76364,0.53742,1.07371,2.67535,1.20588,0.00012832,0.00012832,0.00012832
4,52.2216,1.10328,1.76581,1.30208,0.01565,0.91396,0.81298,0.54814,1.10615,2.53882,1.19235,0.00015466,0.00015466,0.00015466
5,64.8087,1.12138,1.50159,1.22611,0.97805,0.47907,0.82969,0.57483,1.03969,2.41128,1.14268,0.00016912,0.00016912,0.00016912
6,77.3642,1.0622,1.54656,1.23527,1,0.2189,0.85088,0.5965,1.00534,2.38333,1.13743,0.0001717,0.0001717,0.0001717
7,90.0897,0.98039,1.34016,1.12088,1,0.18836,0.87047,0.63219,1.01715,2.36418,1.13313,0.0001624,0.0001624,0.0001624
8,102.635,0.9254,1.3891,1.14383,1,0.19832,0.86983,0.63675,1.00124,2.35722,1.13109,0.00014122,0.00014122,0.00014122
9,116.492,1.00275,1.38329,1.1771,1,0.31735,0.86933,0.65245,0.99047,2.35018,1.1056,0.00010816,0.00010816,0.00010816
10,129.153,0.98569,1.37387,1.17556,1,0.36415,0.87228,0.66146,0.98658,2.33978,1.09949,6.322e-05,6.322e-05,6.322e-05
