epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,49.5755,0.96911,2.03459,0.29167,0.60363,1.05724,0.5755,0.57143,0.6235,0.37111,0.79608,0.14286,0.15675,0.03465,1.61484,7.06972,0.59166,1.29291,1.57328,0.000386152,0.000386152,0.000386152
28,51.5337,0.9587,2.60644,0.344,0.6476,1.1256,0.5755,0.57143,0.6235,0.37111,0.79608,0.14286,0.15675,0.03465,1.61484,7.06972,0.59166,1.29291,1.57328,0.000395658,0.000395658,0.000395658
29,53.3904,1.12322,1.85931,0.44697,0.71466,1.06388,0.5153,0.68437,0.61749,0.4084,0.91291,0.21429,0.2211,0.04503,1.56231,7.14043,0.58135,1.27293,1.53755,0.000404768,0.000404768,0.000404768
30,55.3737,0.86775,2.75902,0.28453,0.66999,1.01271,0.5153,0.68437,0.61749,0.4084,0.91291,0.21429,0.2211,0.04503,1.56231,7.14043,0.58135,1.27293,1.53755,0.000413482,0.000413482,0.000413482
31,57.2685,1.17555,2.5819,0.32975,0.83275,1.19084,0.61349,0.68141,0.65261,0.41905,0.91819,0.21429,0.24265,0.08265,1.50574,7.03709,0.57099,1.27442,1.51795,0.0004218,0.0004218,0.0004218
32,58.865,1.13563,3.11263,0.31953,0.83263,1.1288,0.61349,0.68141,0.65261,0.41905,0.91819,0.21429,0.24265,0.08265,1.50574,7.03709,0.57099,1.27442,1.51795,0.000429722,0.000429722,0.000429722
33,60.6648,1.13012,2.32159,0.2974,0.73137,1.06438,0.6979,0.66103,0.73045,0.43259,0.88329,0.21429,0.25433,0.10836,1.50113,7.07611,0.59011,1.24954,1.53618,0.000437248,0.000437248,0.000437248
34,62.3074,1.27988,2.92599,0.34604,0.81579,1.20053,0.6979,0.66103,0.73045,0.43259,0.88329,0.21429,0.25433,0.10836,1.50113,7.07611,0.59011,1.24954,1.53618,0.000444378,0.000444378,0.000444378
35,64.0439,1.04341,2.78431,0.30916,0.72327,1.09911,0.80725,0.71429,0.7109,0.39085,0.54014,0.28571,0.2493,0.08747,1.61006,7.29184,0.60669,1.29884,1.66161,0.000451112,0.000451112,0.000451112
36,65.6954,1.00415,2.48027,0.33427,0.69952,1.06735,0.80725,0.71429,0.7109,0.39085,0.54014,0.28571,0.2493,0.08747,1.61006,7.29184,0.60669,1.29884,1.66161,0.00045745,0.00045745,0.00045745
37,67.3679,1.56257,4.13345,0.48051,1.23064,1.63844,0.71077,0.71429,0.70565,0.40012,0.79457,0.35714,0.35326,0.09919,1.62284,7.31045,0.64677,1.40732,1.68526,0.000463392,0.000463392,0.000463392
38,69.0098,0.66145,2.9732,0.31882,0.71224,0.99566,0.71077,0.71429,0.70565,0.40012,0.79457,0.35714,0.35326,0.09919,1.62284,7.31045,0.64677,1.40732,1.68526,0.000468938,0.000468938,0.000468938
39,70.7205,0.67268,2.81979,0.25425,0.74068,1.07019,0.71251,0.71429,0.72354,0.38416,0.95984,0.35714,0.36557,0.08202,1.60567,7.32971,0.70392,1.49933,1.68572,0.000474088,0.000474088,0.000474088
40,72.4351,1.06612,2.84562,0.29208,0.71753,1.07616,0.71251,0.71429,0.72354,0.38416,0.95984,0.35714,0.36557,0.08202,1.60567,7.32971,0.70392,1.49933,1.68572,0.000478842,0.000478842,0.000478842
41,74.191,0.95106,3.48115,0.30855,0.84916,1.08612,0.5807,0.5946,0.62763,0.37235,0.5852,0.21429,0.23251,0.04929,1.60675,7.54055,0.77638,1.54171,1.67848,0.0004832,0.0004832,0.0004832
42,75.8344,1.03897,3.07367,0.34019,0.94408,1.29394,0.5807,0.5946,0.62763,0.37235,0.5852,0.21429,0.23251,0.04929,1.60675,7.54055,0.77638,1.54171,1.67848,0.000487162,0.000487162,0.000487162
43,77.5483,0.82683,2.95443,0.39538,0.60516,1.08771,0.61677,0.42857,0.55449,0.33326,0.84246,0.07143,0.09307,0.02601,1.64212,7.70124,0.81766,1.57644,1.69038,0.000490728,0.000490728,0.000490728
44,79.2003,1.09536,5.10425,0.32234,1.04482,1.2108,0.61677,0.42857,0.55449,0.33326,0.84246,0.07143,0.09307,0.02601,1.64212,7.70124,0.81766,1.57644,1.69038,0.000493898,0.000493898,0.000493898
45,80.9913,0.86525,2.04131,0.26502,0.63403,1.10294,0.62863,0.48481,0.50342,0.25018,0.84621,0.14286,0.16631,0.02588,1.61479,7.56489,0.81411,1.6238,1.72716,0.000496672,0.000496672,0.000496672
46,82.6391,0.90273,3.17465,0.3106,0.78278,1.11627,0.62863,0.48481,0.50342,0.25018,0.84621,0.14286,0.16631,0.02588,1.61479,7.56489,0.81411,1.6238,1.72716,0.00049905,0.00049905,0.00049905
47,84.3807,1.14089,2.97825,0.2765,0.7253,1.10764,0.63892,0.64286,0.55157,0.28845,0.12587,0.14286,0.05273,0.01737,1.64435,7.45545,0.80726,1.58914,1.72004,0.000501032,0.000501032,0.000501032
48,86.1235,0.99271,3.69985,0.31501,0.63805,1.07345,0.63892,0.64286,0.55157,0.28845,0.12587,0.14286,0.05273,0.01737,1.64435,7.45545,0.80726,1.58914,1.72004,0.000502618,0.000502618,0.000502618
49,87.8019,0.78571,3.0699,0.31415,0.75476,0.98249,0.68445,0.57143,0.59551,0.31733,0.39443,0.07143,0.04426,0.01251,1.63888,7.55319,0.80143,1.66421,1.7585,0.000503808,0.000503808,0.000503808
50,89.5226,0.90204,4.68863,0.26904,0.76262,1.08278,0.68445,0.57143,0.59551,0.31733,0.39443,0.07143,0.04426,0.01251,1.63888,7.55319,0.80143,1.66421,1.7585,0.000504602,0.000504602,0.000504602
51,91.2491,0.84289,2.70843,0.32613,0.79496,1.00494,0.55189,0.57143,0.56493,0.27359,0.36035,0.07143,0.04662,0.01275,1.75701,7.62143,0.80577,1.77298,1.9026,0.000505,0.000505,0.000505
52,92.9581,0.84642,3.29892,0.35522,0.89709,0.97215,0.55189,0.57143,0.56493,0.27359,0.36035,0.07143,0.04662,0.01275,1.75701,7.62143,0.80577,1.77298,1.9026,0.000505002,0.000505002,0.000505002
53,94.6899,0.90499,3.90808,0.27726,0.87087,1.14373,0.55189,0.57143,0.56493,0.27359,0.36035,0.07143,0.04662,0.01275,1.75701,7.62143,0.80577,1.77298,1.9026,0.000504608,0.000504608,0.000504608
54,96.397,0.64358,2.26954,0.29715,0.63072,1.01717,0.46132,0.64286,0.50172,0.25262,0.48784,0.14286,0.127,0.01667,1.76224,7.65238,0.81967,1.75532,2.00933,0.000503818,0.000503818,0.000503818
55,98.3036,1.01482,2.63119,0.27132,0.7939,1.16516,0.46132,0.64286,0.50172,0.25262,0.48784,0.14286,0.127,0.01667,1.76224,7.65238,0.81967,1.75532,2.00933,0.000502632,0.000502632,0.000502632
56,100.073,0.93517,3.41774,0.34786,0.77849,1.04,0.46132,0.64286,0.50172,0.25262,0.48784,0.14286,0.127,0.01667,1.76224,7.65238,0.81967,1.75532,2.00933,0.00050105,0.00050105,0.00050105
57,101.79,0.79203,2.81535,0.30467,0.65933,0.96205,0.39946,0.57143,0.43515,0.22445,0.2645,0.21429,0.08617,0.01204,1.75046,7.70865,0.84951,1.76567,1.91727,0.000499072,0.000499072,0.000499072
58,103.527,0.635,2.91375,0.2954,0.63579,1.03149,0.39946,0.57143,0.43515,0.22445,0.2645,0.21429,0.08617,0.01204,1.75046,7.70865,0.84951,1.76567,1.91727,0.000496698,0.000496698,0.000496698
59,105.316,0.85003,2.29058,0.27084,0.77028,1.05736,0.39946,0.57143,0.43515,0.22445,0.2645,0.21429,0.08617,0.01204,1.75046,7.70865,0.84951,1.76567,1.91727,0.000493928,0.000493928,0.000493928
60,107.116,1.36277,3.79106,0.27878,1.09479,1.64311,0.43739,0.57143,0.53276,0.28421,0.2437,0.07143,0.02797,0.00559,1.69918,7.65749,0.73812,1.71697,1.73733,0.000490762,0.000490762,0.000490762
61,108.874,0.88242,2.62103,0.30716,0.78164,1.07634,0.43739,0.57143,0.53276,0.28421,0.2437,0.07143,0.02797,0.00559,1.69918,7.65749,0.73812,1.71697,1.73733,0.0004872,0.0004872,0.0004872
62,110.609,0.77545,2.39503,0.32525,0.66623,1.03206,0.43739,0.57143,0.53276,0.28421,0.2437,0.07143,0.02797,0.00559,1.69918,7.65749,0.73812,1.71697,1.73733,0.000483242,0.000483242,0.000483242
63,112.417,0.877,3.03319,0.34692,0.91305,1.09915,0.57156,0.57143,0.58173,0.33154,0.24762,0.07143,0.07803,0.0078,1.61879,7.76533,0.7138,1.55701,1.67994,0.000478888,0.000478888,0.000478888
64,114.156,0.6904,2.8001,0.37952,0.51437,1.05631,0.57156,0.57143,0.58173,0.33154,0.24762,0.07143,0.07803,0.0078,1.61879,7.76533,0.7138,1.55701,1.67994,0.000474138,0.000474138,0.000474138
65,115.886,0.87539,3.11963,0.39039,0.6852,0.97616,0.57156,0.57143,0.58173,0.33154,0.24762,0.07143,0.07803,0.0078,1.61879,7.76533,0.7138,1.55701,1.67994,0.000468992,0.000468992,0.000468992
66,117.626,0.82108,2.8788,0.31409,0.7012,1.01779,0.69488,0.57143,0.57194,0.28831,0.00769,0.07143,0.00537,0.00054,1.55986,7.95104,0.73357,1.60357,1.68649,0.00046345,0.00046345,0.00046345
67,119.526,0.77307,2.56447,0.23905,0.60953,0.95426,0.69488,0.57143,0.57194,0.28831,0.00769,0.07143,0.00537,0.00054,1.55986,7.95104,0.73357,1.60357,1.68649,0.000457512,0.000457512,0.000457512
68,121.2,0.71048,2.39769,0.33133,0.52135,1.01198,0.69488,0.57143,0.57194,0.28831,0.00769,0.07143,0.00537,0.00054,1.55986,7.95104,0.73357,1.60357,1.68649,0.000451178,0.000451178,0.000451178
69,122.893,0.77124,2.97158,0.31918,0.63321,1.14107,0.57667,0.71429,0.55226,0.26213,0,0,0,0,1.61765,8.11212,0.7278,1.64929,1.7458,0.000444448,0.000444448,0.000444448
70,124.637,0.88572,3.49154,0.35838,0.79615,1.03854,0.57667,0.71429,0.55226,0.26213,0,0,0,0,1.61765,8.11212,0.7278,1.64929,1.7458,0.000437322,0.000437322,0.000437322
71,126.282,0.96196,3.63275,0.35725,0.74319,1.05565,0.57667,0.71429,0.55226,0.26213,0,0,0,0,1.61765,8.11212,0.7278,1.64929,1.7458,0.0004298,0.0004298,0.0004298
72,128.053,0.8013,2.88757,0.30269,0.59922,1.04179,0.60757,0.77467,0.55039,0.26686,0,0,0,0,1.64638,8.17298,0.7197,1.63881,1.76012,0.000421882,0.000421882,0.000421882
73,129.707,0.81058,3.53203,0.27068,0.71501,1.0562,0.60757,0.77467,0.55039,0.26686,0,0,0,0,1.64638,8.17298,0.7197,1.63881,1.76012,0.000413568,0.000413568,0.000413568
74,131.465,0.76815,2.3355,0.34557,0.68034,1.05088,0.60757,0.77467,0.55039,0.26686,0,0,0,0,1.64638,8.17298,0.7197,1.63881,1.76012,0.000404858,0.000404858,0.000404858
75,133.277,1.1513,2.35837,0.23375,0.9456,1.52895,0.72257,0.78571,0.67251,0.33051,0.75792,0.07143,0.08759,0.03267,1.64503,8.20623,0.71359,1.50965,1.68823,0.000395752,0.000395752,0.000395752
76,135.069,0.85794,2.90776,0.28,0.66194,1.07883,0.72257,0.78571,0.67251,0.33051,0.75792,0.07143,0.08759,0.03267,1.64503,8.20623,0.71359,1.50965,1.68823,0.00038625,0.00038625,0.00038625
77,136.733,0.80424,2.54963,0.35958,0.56734,1.03575,0.72257,0.78571,0.67251,0.33051,0.75792,0.07143,0.08759,0.03267,1.64503,8.20623,0.71359,1.50965,1.68823,0.000376352,0.000376352,0.000376352
78,138.438,0.80287,3.23203,0.32134,0.6797,1.06722,0.85627,0.64286,0.82429,0.41472,0.9139,0.07143,0.08006,0.04003,1.62612,8.10996,0.7004,1.43376,1.6221,0.000366058,0.000366058,0.000366058
79,140.18,0.981,3.31362,0.2413,0.77461,1.15235,0.85627,0.64286,0.82429,0.41472,0.9139,0.07143,0.08006,0.04003,1.62612,8.10996,0.7004,1.43376,1.6221,0.000355368,0.000355368,0.000355368
80,141.94,0.71503,1.86784,0.25959,0.5589,0.9281,0.85627,0.64286,0.82429,0.41472,0.9139,0.07143,0.08006,0.04003,1.62612,8.10996,0.7004,1.43376,1.6221,0.000344282,0.000344282,0.000344282
81,143.979,0.7954,2.47454,0.37368,0.58458,1.097,0.86146,0.71429,0.84255,0.42573,0.90379,0.07143,0.07923,0.03961,1.53131,8.09918,0.68309,1.38005,1.54713,0.0003328,0.0003328,0.0003328
82,145.782,0.76116,1.45627,0.24322,0.57,0.99823,0.86146,0.71429,0.84255,0.42573,0.90379,0.07143,0.07923,0.03961,1.53131,8.09918,0.68309,1.38005,1.54713,0.000320922,0.000320922,0.000320922
83,147.468,0.70609,2.63804,0.2187,0.60055,0.98469,0.86146,0.71429,0.84255,0.42573,0.90379,0.07143,0.07923,0.03961,1.53131,8.09918,0.68309,1.38005,1.54713,0.000308648,0.000308648,0.000308648
84,149.172,0.90064,2.65291,0.25597,0.59082,1.17512,0.86424,0.71429,0.83182,0.41113,0.89784,0.07143,0.07849,0.0314,1.59761,8.18785,0.66909,1.36335,1.59336,0.000295978,0.000295978,0.000295978
85,150.819,0.61717,2.20266,0.28514,0.51434,0.96292,0.86424,0.71429,0.83182,0.41113,0.89784,0.07143,0.07849,0.0314,1.59761,8.18785,0.66909,1.36335,1.59336,0.000282912,0.000282912,0.000282912
86,152.427,0.93059,2.77719,0.29014,0.66223,1.17334,0.86424,0.71429,0.83182,0.41113,0.89784,0.07143,0.07849,0.0314,1.59761,8.18785,0.66909,1.36335,1.59336,0.00026945,0.00026945,0.00026945
87,154.179,0.67968,2.75113,0.22198,0.50766,0.99237,0.86424,0.71429,0.83182,0.41113,0.89784,0.07143,0.07849,0.0314,1.59761,8.18785,0.66909,1.36335,1.59336,0.000255592,0.000255592,0.000255592
88,155.875,0.76444,2.0241,0.36731,0.58313,0.96284,0.9089,0.71276,0.85143,0.40758,0.88668,0.07143,0.07841,0.03137,1.59091,8.19179,0.67979,1.28998,1.62486,0.000241338,0.000241338,0.000241338
89,157.627,0.76162,2.40713,0.27909,0.60614,1.01409,0.9089,0.71276,0.85143,0.40758,0.88668,0.07143,0.07841,0.03137,1.59091,8.19179,0.67979,1.28998,1.62486,0.000226688,0.000226688,0.000226688
90,159.409,0.64482,1.97816,0.29774,0.47186,0.92922,0.9089,0.71276,0.85143,0.40758,0.88668,0.07143,0.07841,0.03137,1.59091,8.19179,0.67979,1.28998,1.62486,0.000211642,0.000211642,0.000211642
