epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4212,2.2797,3.26158,2.26122,0,0,0,0,0,142.772,0,8.335e-05,8.335e-05,8.335e-05
2,51.2035,2.23086,2.97361,2.20803,0,0,0,0,0,145.229,0,0.000165216,0.000165216,0.000165216
3,75.4584,2.18739,2.61695,2.14872,0,0,0,0,0,152.481,0,0.000227279,0.000227279,0.000227279
4,98.3713,2.11197,2.5074,2.06537,0,0,0,0,0,156.39,0,0.000269537,0.000269537,0.000269537
5,121.006,2.0916,2.46607,2.06468,0,0,0,0,0,162.505,0,0.000291992,0.000291992,0.000291992
6,144.608,2.01025,2.40944,1.99498,0,0,0,0,0,171.785,0,0.000294642,0.000294642,0.000294642
7,168.349,1.98315,2.36575,1.94882,0,0,0,0,0,185.986,0,0.000277489,0.000277489,0.000277489
8,192.077,1.95856,2.3298,1.9182,0,0,0,0,0,203.895,0,0.000240531,0.000240531,0.000240531
9,215.872,1.90205,2.27952,1.91502,0,0,0,0,0,206.061,0,0.00018377,0.00018377,0.00018377
10,239.823,1.88146,2.25736,1.88766,0,0,0,0,0,206.402,0,0.000107205,0.000107205,0.000107205
